datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-04-27,#venezuela,15340,559.0713999999999,1798.8284000000237,%Y-%m-%d
2019-04-28,#venezuela,28265,916.678600000014,3590.7856999995524,%Y-%m-%d
2019-04-29,#venezuela,15766,987.8689000000039,2425.2687999999657,%Y-%m-%d
2019-17,#venezuela,44031,1904.5475000000179,6016.054499999518,%Y-%U
2019,me,1007031,221588.5456998836,134589.08300001686,%Y
2019-16,me,0,0,0,%Y-%U
2019-17,me,1007031,221588.5456998836,134589.08300001686,%Y-%U
2019-04,me,580687,130523.99389992279,74692.82720000799,%Y-%m
2019-04-27,poland,2041,367.1869999999996,176.82180000000005,%Y-%m-%d
2019-04-28,poland,4687,875.8591000000002,395.47999999999985,%Y-%m-%d
2019-04-29,poland,13,0.9857,2.9895000000000005,%Y-%m-%d
2019-17,poland,22286,5707.355399999909,2341.3258000000214,%Y-%U
2019-04-27,qatar from russia,3,0.8625,1.4079,%Y-%m-%d
2019-04-28,qatar from russia,4,1.092,0.1032,%Y-%m-%d
2019-04-29,qatar from russia,4,0.9582,1.782,%Y-%m-%d
2019-17,qatar from russia,15,3.7142000000000004,5.1428,%Y-%U
2019-04-27,#badblood,8,0.2023,0.5859,%Y-%m-%d
2019-04-28,#badblood,18,7.391700000000001,0.8481,%Y-%m-%d
2019-04-29,#badblood,1,0.9042,0,%Y-%m-%d
2019-17,#badblood,52,17.177599999999998,2.7561,%Y-%U
2019-17,#aljazeera;althani,0,0,0,%Y-%U
2019-17,"""bad blood"" qatar",0,0,0,%Y-%U
2019-17,al jazeeera,1,0,0.5729,%Y-%U
2019-17,#monitoredphrases,0,0,0,%Y-%U
2019-17,baloon flight,0,0,0,%Y-%U
2019-04-27,#jesse,5,0,0,%Y-%m-%d
2019-04-28,#jesse,13,0.5994,0.0516,%Y-%m-%d
2019-04-29,#jesse,1,0,0,%Y-%m-%d
2019-17,#jesse,52,6.044899999999999,1.2229,%Y-%U
2019-17,#qatarterrorismfinancing,0,0,0,%Y-%U
2019-04-27,trupm,3,0.128,0.6778,%Y-%m-%d
2019-04-28,trupm,1,0,0,%Y-%m-%d
2019-17,trupm,6,0.6486,1.2057,%Y-%U
2019-04-27,bitcoin,8764,2098.3690999999917,512.2075999999983,%Y-%m-%d
2019-04-28,bitcoin,22002,5120.622600000158,1301.2581000000073,%Y-%m-%d
2019-04-29,bitcoin,18569,4359.286300000009,1010.6110000000015,%Y-%m-%d
2019,bitcoin,49335,11578.278000000158,2824.076700000007,%Y
2019-16,bitcoin,8764,2098.3690999999917,512.2075999999983,%Y-%U
2019-17,bitcoin,40571,9479.908900000166,2311.869100000009,%Y-%U
2019-04,bitcoin,49335,11578.278000000158,2824.076700000007,%Y-%m
2019-17,#aljazeeera;aljazeera;althani;aludeid,0,0,0,%Y-%U
2019-17,"#neptune,wisconsin",0,0,0,%Y-%U
2019-17,#teddeutch,0,0,0,%Y-%U
2019-04-27,#flask,4,0.655,0.296,%Y-%m-%d
2019-04-28,#flask,34,9.095400000000001,0,%Y-%m-%d
2019-04-29,#flask,2,0.5464,0,%Y-%m-%d
2019-17,#flask,75,24.6462,2.7016999999999998,%Y-%U
2019-04-27,al thani,31,7.810600000000001,1.4147,%Y-%m-%d
2019-04-28,al thani,62,9.852599999999999,4.6795,%Y-%m-%d
2019-04-29,al thani,22,4.0218,0.331,%Y-%m-%d
2019-17,al thani,749,155.6343,87.58370000000001,%Y-%U
2019-04-27,#airitaly,3,1.3616,0,%Y-%m-%d
2019-04-28,#airitaly,3,0,0,%Y-%m-%d
2019-04-29,#airitaly,6,0.6369,0,%Y-%m-%d
2019-17,#airitaly,75,8.4316,0,%Y-%U
2019-17,#qatardocumentaryfilms,0,0,0,%Y-%U
2019-17,#aljazeeera,0,0,0,%Y-%U
2019-04-27,#aludeid,1,0,0,%Y-%m-%d
2019-04-28,#aludeid,1,0,0.4939,%Y-%m-%d
2019-17,#aludeid,3,0,0.7202,%Y-%U
2019,#me,13906,4542.785799999958,457.81889999999964,%Y
2019-16,#me,0,0,0,%Y-%U
